Time,Type of Transaction,Age,Fraud
19,POS,25.2,0
17,POS,49.6,0
14,POS,42.2,0
14,POS,51,0
23,Online,38,1
20,POS,48.4,0
18,Online,39.5,0
18,Online,37.8,0
23,ATM,43.3,0
23,POS,69.9,0
11,ATM,54.8,0
1,POS,48.7,1
21,ATM,43.6,0
20,ATM,46.4,0
11,POS,50.6,0
17,ATM,37.2,0
0,Online,54.3,1
21,Online,62,0
20,ATM,28.5,0
23,POS,55,0
8,Online,29.9,0
19,Online,80.5,0
17,ATM,63.3,0
20,POS,45.5,0
9,Online,58.4,0
9,Online,47.2,0
21,ATM,43.6,0
17,Online,42.4,0
17,POS,46.1,0
15,ATM,45.1,0
22,Online,53.3,0
7,Online,35.4,0
18,ATM,52,0
15,POS,35,0
11,Online,50.2,0
15,ATM,50.9,0
18,POS,58.2,0
3,ATM,62.8,1
19,ATM,45,0
14,POS,40.4,0
12,ATM,47.3,0
8,Online,23.3,0
4,POS,46.3,1
23,ATM,26,0
23,ATM,72.9,0
7,Online,48.3,0
9,ATM,50.6,0
19,ATM,36.6,0
19,Online,50.3,0
14,Online,29.7,0
17,POS,57,0
1,POS,37.2,1
21,POS,38.8,0
8,POS,51.2,0
5,Online,48.5,1
22,POS,48.1,0
23,ATM,45.9,0
9,Online,45.6,0
0,ATM,53.8,1
11,POS,53,0
7,Online,58.2,0
10,POS,50.9,0
22,POS,40.6,0
7,ATM,51.9,1
21,POS,40,0
13,Online,41.8,0
23,Online,36.6,0
21,ATM,51.2,0
12,POS,48.7,0
17,ATM,55.1,0
9,ATM,58.7,0
10,POS,30.3,0
11,ATM,48.3,0
7,Online,62.3,0
19,ATM,57.3,0
8,ATM,50,0
23,POS,31.5,0
2,POS,45.7,1
17,POS,40.2,0
7,Online,46.2,0
21,POS,46.9,0
9,ATM,42.6,0
23,Online,56.8,0
12,ATM,35.9,0
7,POS,53.8,0
21,POS,61.8,0
8,ATM,40.4,0
15,POS,33.6,0
19,POS,49.1,0
13,POS,63.3,0
17,ATM,47.5,0
11,POS,60,0
20,POS,38,0
10,POS,57.8,0
19,ATM,49.4,0
18,Online,28.5,0
7,POS,55.7,0
16,POS,45.8,0
13,POS,45.1,0
23,POS,33.2,0
5,Online,43.1,1
19,ATM,44.7,0
13,Online,52.5,0
3,Online,57.7,1
18,POS,45.2,0
7,Online,61.6,0
16,Online,36.3,0
15,ATM,49.3,0
13,POS,52.8,1
8,POS,50.2,0
11,Online,41.3,0
19,ATM,30.1,0
17,ATM,67.2,0
13,ATM,59.1,0
16,ATM,54.7,0
13,POS,36.9,0
23,Online,48.4,0
22,ATM,32.1,0
7,Online,55,0
9,POS,27.2,0
10,POS,47,0
20,ATM,53.5,0
23,Online,42.3,0
8,POS,41.1,0
8,POS,40.9,0
18,ATM,48,0
8,POS,42.7,0
9,POS,43.4,0
17,Online,53.8,0
18,ATM,53.9,0
9,POS,46.2,1
7,ATM,39.7,0
14,POS,63.9,0
21,Online,48.3,0
7,Online,40.3,0
7,Online,30.6,0
16,POS,55.8,0
9,Online,46.2,0
11,POS,52.2,0
19,Online,47.9,0
7,Online,45.2,0
20,Online,44.9,0
12,POS,54,0
16,ATM,51.6,0
16,POS,41.6,0
17,ATM,39.7,0
17,POS,56.7,0
10,ATM,49.4,0
14,POS,46.6,0
18,ATM,60.5,0
11,Online,38.2,0
9,ATM,54.4,0
21,Online,55.2,0
20,Online,42.8,0
13,ATM,47.1,0
22,Online,58.3,0
23,POS,58.7,0
21,POS,51.2,0
8,POS,34.3,0
15,Online,65.3,0
20,POS,36,0
9,Online,55.9,0
18,Online,54.7,0
20,POS,26.3,0
6,Online,43.3,1
20,Online,36.2,0
9,POS,55.6,0
12,Online,68.9,0
9,Online,56.8,0
19,Online,25.1,0
17,POS,54.2,0
7,ATM,39.5,0
18,POS,33.1,0
19,Online,43.3,0
13,ATM,56.1,0
20,ATM,39.6,0
9,ATM,50.3,0
22,Online,60.4,0
23,Online,45.9,0
14,Online,57.6,0
10,Online,27.5,0
9,ATM,41.9,0
21,Online,33.2,0
18,Online,36.5,0
19,ATM,40.4,0
18,POS,48,0
0,POS,34.8,1
19,POS,49.8,0
8,ATM,38.8,0
13,Online,54.1,0
7,POS,46.5,0
10,POS,43.2,0
8,Online,38.8,0
19,POS,53.8,0
21,POS,60.4,0
16,Online,39.8,0
15,Online,38.2,0
11,ATM,68.9,0
22,ATM,69.2,0
9,Online,26.3,0
19,POS,31.5,0
8,Online,33.3,0
21,POS,40.2,0
8,POS,40.4,0
14,ATM,33.4,0
15,ATM,55.6,0
12,POS,29.8,0
21,POS,51.7,0
10,POS,32.9,1
17,POS,57.8,0
23,POS,55.4,0
11,ATM,52.6,0
21,ATM,42.3,0
19,ATM,65.9,0
18,Online,63.1,1
10,ATM,29.6,0
20,ATM,42.2,0
20,Online,42.1,0
20,Online,47,0
1,Online,41.9,1
8,POS,34.5,0
19,Online,40.8,0
12,ATM,45.6,1
22,POS,40.1,0
18,POS,29,0
19,POS,37.5,0
8,ATM,49.5,0
19,ATM,56.6,0
15,POS,47.4,0
11,POS,45.2,0
14,POS,43.1,0
7,ATM,37.5,0
19,POS,38.4,1
11,ATM,49.9,0
18,ATM,44.3,0
16,POS,29.9,0
11,Online,57.4,0
13,Online,45,0
20,Online,33.5,0
13,ATM,45.4,0
11,POS,44.5,0
21,ATM,34,0
21,Online,32,0
5,Online,52.1,1
7,POS,64.7,0
21,ATM,47.3,0
17,POS,53.2,0
22,ATM,47.5,0
14,ATM,52.5,0
20,POS,56.7,0
14,POS,43.3,0
9,Online,41,0
16,Online,58.2,0
21,Online,45.4,0
10,ATM,36.6,0
9,ATM,45.1,0
23,Online,53.9,0
18,POS,21.8,0
14,Online,51.1,0
15,POS,35.6,0
19,POS,40.7,0
7,Online,68.3,0
9,Online,49.6,0
4,POS,73.8,1
11,Online,36.8,0
19,Online,37.4,1
19,Online,52.8,0
22,ATM,42.4,0
10,ATM,40.7,0
15,ATM,52,0
16,Online,30.2,0
18,Online,47.3,0
20,Online,43.1,0
10,ATM,37.9,0
11,Online,33.1,1
16,Online,44.8,0
16,POS,42.1,0
15,Online,64.7,0
15,ATM,47.9,0
17,Online,43.4,0
9,Online,56.2,0
7,POS,46,0
10,ATM,46.6,0
16,ATM,60.3,0
16,Online,20.4,0
11,Online,55.3,0
13,ATM,52.9,0
11,Online,63.4,1
21,POS,38.4,0
20,POS,66.4,0
8,POS,43.9,0
7,POS,55.1,0
23,ATM,31,0
11,Online,29.6,0
8,POS,52.7,0
20,POS,48.8,0
21,Online,47.1,0
14,Online,24.9,0
18,ATM,27,0
19,ATM,42.4,0
7,ATM,38.9,0
20,POS,37.8,0
8,Online,42.1,0
20,Online,39.3,0
9,Online,46.3,0
17,POS,45.2,0
18,Online,40.7,0
18,ATM,48.6,0
13,ATM,42.8,0
6,Online,41.6,1
7,Online,51.2,0
13,Online,61.1,0
14,ATM,48,0
9,ATM,41.6,0
12,POS,38.8,0
17,POS,53.8,0
14,POS,47.7,0
8,Online,49.1,0
7,POS,64.9,0
17,POS,47.6,0
15,Online,41.6,0
11,POS,40.9,0
8,POS,40.8,0
10,Online,41.7,0
21,POS,66.9,1
11,ATM,42.8,0
11,POS,42.4,0
21,ATM,36.4,0
15,Online,51.8,0
23,POS,53.5,0
20,ATM,52.1,0
6,Online,27.9,1
19,ATM,47.2,0
11,ATM,53.1,0
8,POS,55.3,0
14,ATM,57.9,0
11,POS,41.2,0
17,POS,53.4,0
12,POS,29.9,0
21,Online,41.2,0
20,POS,48.7,0
7,POS,21.9,0
13,Online,38.9,0
20,ATM,30.7,0
16,POS,45.6,0
11,ATM,57.2,0
20,POS,30.5,0
7,POS,41.2,0
18,ATM,39.6,0
19,POS,34.1,1
17,POS,43.1,0
7,ATM,36.5,0
16,Online,38.2,0
5,ATM,45,1
16,POS,32.2,0
22,ATM,55,0
9,Online,40.5,0
7,POS,57.5,0
8,Online,38,0
13,POS,29.6,0
23,POS,53.9,0
18,Online,42.6,0
11,ATM,51.5,0
22,POS,36.8,0
15,ATM,27.1,0
6,ATM,41.9,1
19,Online,49.1,0
14,POS,47.6,0
18,Online,53.5,0
7,ATM,50.1,0
23,POS,52.3,0
17,ATM,47.9,0
22,Online,41.5,0
10,Online,42,0
8,Online,51.3,0
23,ATM,38,0
18,Online,34.7,0
7,ATM,34.5,0
14,ATM,19.2,0
12,Online,41.8,0
13,Online,34.6,0
18,Online,35.5,0
22,ATM,27.1,0
15,ATM,41,0
21,ATM,39.6,0
18,ATM,33.9,0
15,ATM,47.9,0
23,POS,50.4,0
12,ATM,38.9,0
13,Online,39.5,0
9,Online,55.5,0
11,ATM,54.8,0
17,Online,36.9,0
10,POS,46,0
8,Online,57.5,0
22,ATM,42,0
21,POS,31.2,0
18,ATM,39.6,0
15,POS,62.3,1
15,POS,29.5,0
4,Online,69.9,1
10,ATM,46.2,0
22,Online,35.6,0
18,POS,39.4,0
23,ATM,59.2,0
17,ATM,57.6,0
8,ATM,45,0
3,ATM,45.2,1
21,Online,59.1,0
16,Online,57.9,0
21,POS,50.2,0
14,Online,35.2,0
20,POS,52.7,0
22,POS,39.1,0
9,POS,40.1,0
8,ATM,42.2,0
11,POS,50.5,0
18,POS,34.6,0
9,ATM,52.4,0
23,ATM,46.1,0
12,ATM,60.5,0
11,Online,38.9,0
19,Online,41.3,0
19,Online,45,0
6,ATM,47.2,1
22,ATM,59.7,0
16,POS,46.8,0
23,POS,30.9,0
2,ATM,57.5,1
17,POS,32.6,0
20,Online,57.5,0
12,POS,41.5,0
18,ATM,35,0
11,ATM,38.1,0
8,ATM,51,0
18,POS,49.2,0
14,ATM,42.3,0
11,POS,47.4,0
12,POS,54.7,0
14,POS,47.6,0
17,Online,47.7,0
17,Online,44,0
17,POS,52,0
7,ATM,54.6,0
20,Online,52.3,0
11,ATM,50,0
9,ATM,50.1,0
17,ATM,35.3,0
11,POS,57,0
9,POS,48.7,1
19,POS,35.1,0
5,Online,54.8,1
22,Online,60.5,0
22,ATM,41.8,0
18,Online,49.6,0
17,Online,36.9,0
18,ATM,46,0
10,POS,52.5,0
7,Online,31.5,0
19,Online,43.2,0
20,ATM,43.4,0
8,ATM,36.2,0
7,POS,36.5,0
23,POS,51.4,0
7,Online,50.4,0
19,POS,52.2,0
11,ATM,48.9,0
8,POS,41.7,0
11,Online,35.9,0
17,Online,31,0
16,ATM,45.9,0
23,ATM,50.8,0
15,POS,61.2,0
13,Online,15,0
19,POS,52.4,0
14,Online,52.5,0
13,Online,30.9,0
21,ATM,62.4,0
23,POS,45.7,0
15,ATM,74.1,0
21,POS,34.6,0
14,POS,42.5,0
12,POS,26.2,0
12,Online,39.6,0
12,POS,46,0
21,Online,55.9,1
15,ATM,38,0
17,POS,52,0
16,ATM,48,0
14,ATM,38.8,0
21,POS,57.9,0
23,ATM,39.6,0
17,ATM,51.2,0
21,POS,41.2,0
11,Online,58,0
8,POS,55.1,0
23,POS,48.6,0
14,POS,44.9,1
7,ATM,49.6,0
19,Online,35.8,1
12,ATM,36.8,0
16,POS,57.2,1
9,Online,49.3,0
11,Online,47.2,0
23,Online,36.8,0
11,Online,37.7,0
14,ATM,45.8,0
22,ATM,53.9,0
22,POS,33.8,0
5,Online,40.1,1
10,ATM,38.9,0
13,ATM,61.7,0
15,ATM,53.3,0
18,Online,55.7,0
12,POS,52.9,0
17,ATM,42.9,0
7,Online,59.5,0
15,Online,39.5,0
10,ATM,47.8,0
16,Online,37.1,0
16,ATM,25.6,0
7,POS,58.5,0
19,Online,64.3,0
18,ATM,56.4,0
8,Online,31.4,0
22,POS,36.1,0
18,ATM,55.7,0
19,POS,28.9,0
14,Online,41.1,0
7,POS,36.2,0
15,POS,62.1,0
11,ATM,61.9,0
17,ATM,30.7,0
10,POS,40,0
1,Online,51.5,1
18,ATM,35.7,0
17,Online,35.8,0
23,POS,47.2,0
12,Online,48.4,0
23,POS,33.6,0
8,Online,43.7,0
8,Online,51.4,0
17,ATM,54.4,0
18,ATM,47.7,0
23,ATM,31.8,0
12,POS,65.3,0
13,POS,30.8,0
19,POS,35.1,0
19,Online,47.8,0
9,ATM,59.7,0
12,POS,47.8,0
22,ATM,49.3,0
19,Online,47.3,0
10,ATM,47.8,0
8,POS,36.1,0
13,Online,39.8,0
0,POS,39,1
17,Online,53.1,0
16,POS,25,0
8,POS,52.7,0
13,Online,40.8,0
10,ATM,47.8,0
9,ATM,42.5,0
14,ATM,43.3,0
18,ATM,46.8,0
22,Online,48.4,0
12,POS,32.4,0
18,Online,27.4,0
9,POS,33.2,0
13,ATM,52.8,0
18,Online,34,0
16,ATM,57.2,0
23,ATM,43.1,0
10,POS,48.6,0
14,Online,31,0
17,POS,52.1,0
8,POS,30,0
7,ATM,34.4,0
22,Online,46.4,1
21,ATM,57.7,0
8,POS,48.2,0
12,Online,47.6,0
15,Online,54.8,0
22,ATM,36.6,0
12,POS,29.3,0
13,Online,56.7,0
15,POS,48.6,1
7,Online,53.6,0
21,ATM,47.6,0
20,POS,50.5,0
15,POS,56.3,0
10,ATM,23.4,0
18,POS,33.3,0
11,POS,34,0
20,POS,39,0
11,ATM,29.4,0
15,POS,52.2,0
6,Online,70.5,1
3,Online,18.6,1
22,Online,40.2,0
14,Online,48.4,0
10,Online,69.2,0
18,Online,35,0
14,ATM,46.5,0
16,ATM,34.5,1
21,Online,48.7,0
21,Online,74.1,0
12,POS,50.9,0
10,POS,46.3,0
14,Online,53.6,0
9,Online,39.2,0
10,ATM,33.7,0
7,Online,50.7,0
13,ATM,40.9,0
9,POS,51.3,0
10,ATM,47.8,0
19,ATM,54.6,0
10,Online,52.4,0
13,ATM,37.9,0
22,ATM,55.5,0
11,POS,38,0
7,Online,33.2,0
8,ATM,40.1,0
12,Online,47.2,0
23,POS,34.7,0
15,ATM,55.7,0
12,Online,40.2,0
12,Online,38.9,0
14,Online,50.3,0
20,POS,41,0
7,ATM,37.8,0
22,Online,36.9,0
16,POS,61.3,0
20,ATM,53.5,0
10,ATM,55.8,0
21,ATM,53,0
15,POS,36.3,0
15,Online,39,0
14,Online,45.8,0
20,ATM,35,0
16,Online,32.4,0
18,POS,43.8,0
10,POS,58,0
13,POS,34.4,0
9,ATM,46.4,0
17,POS,33.6,0
8,ATM,60.3,0
7,POS,48.8,0
23,POS,53.9,0
11,ATM,38.7,0
22,ATM,42.2,0
13,Online,67.2,0
21,POS,49.6,0
8,Online,36,0
15,POS,44.8,0
19,POS,42.2,0
21,ATM,36.9,1
22,POS,38,0
7,POS,46.6,0
11,ATM,42.7,0
20,POS,17.2,0
7,ATM,43.3,0
19,ATM,30.8,0
18,ATM,46.4,0
9,Online,39,0
23,Online,45,0
0,Online,36.8,1
17,ATM,51.7,0
7,Online,34.2,0
20,POS,42.6,0
9,ATM,63.5,0
9,POS,42.6,0
6,Online,43.6,1
9,ATM,43.8,0
8,ATM,37.3,0
10,POS,28.8,0
15,POS,44.7,0
14,ATM,38.5,0
11,ATM,56,0
14,POS,65.7,0
20,Online,66.8,1
21,Online,54,1
15,Online,49.1,1
17,ATM,40.3,0
10,ATM,42.3,0
21,ATM,46.6,0
18,Online,33.9,0
10,ATM,61.9,0
10,POS,45.1,0
21,ATM,46,0
13,ATM,33.6,0
8,ATM,41.1,0
15,POS,60.5,0
7,ATM,53.2,0
9,POS,41,1
17,Online,39.4,0
16,ATM,58.4,0
13,POS,31.3,0
18,ATM,59.9,0
17,Online,28.6,0
2,POS,48.6,1
17,ATM,51.5,0
3,POS,67.6,1
20,POS,29.3,0
18,ATM,48,0
7,ATM,40.6,0
12,ATM,42.4,0
23,Online,48.2,0
21,POS,32.3,0
21,ATM,51.6,0
12,Online,35.5,0
0,POS,21.9,1
22,POS,31.3,0
9,Online,38.7,0
14,ATM,53.1,0
10,ATM,49.9,0
12,ATM,29.7,0
13,Online,39.6,0
14,ATM,41,0
10,Online,51.5,0
16,ATM,52.1,0
21,POS,65.3,0
21,Online,41.7,0
22,ATM,43.5,0
0,ATM,33.5,1
23,POS,50.6,0
10,Online,32.6,0
16,Online,53.6,0
17,POS,57.9,0
9,ATM,53.8,0
20,ATM,27.9,0
7,Online,31.1,0
22,Online,52.6,0
21,ATM,44.2,0
22,ATM,37.3,0
23,Online,23.8,0
16,Online,49.1,0
19,POS,46.4,0
16,Online,47.6,0
13,POS,51,0
15,POS,44.9,0
12,POS,53.1,0
9,ATM,43.8,0
14,Online,40.6,0
11,ATM,23.9,0
19,ATM,39.6,0
13,ATM,38.8,0
9,POS,62.6,0
15,ATM,45.2,0
19,POS,47.7,0
21,POS,23.8,0
17,Online,49,0
20,Online,63.2,0
19,Online,35.6,0
23,POS,47.3,0
11,POS,52.5,0
9,Online,38.4,0
21,Online,47.1,0
14,POS,54.7,0
11,Online,51.1,1
10,Online,56.2,0
16,ATM,52.3,0
16,ATM,71.1,0
11,ATM,41.8,0
7,ATM,32.2,0
14,Online,33.3,0
9,Online,60.6,0
17,Online,52.6,0
19,POS,62.7,0
17,ATM,53.2,0
17,POS,56.1,0
7,ATM,39.7,0
9,POS,30.5,0
7,ATM,38.5,0
7,POS,46.4,0
21,Online,42.9,0
21,Online,46.5,1
15,POS,45.5,0
21,ATM,50.1,0
17,POS,40.2,0
8,POS,57.6,0
12,ATM,35.4,0
21,ATM,47.6,1
17,ATM,52.6,0
14,ATM,37.3,0
20,ATM,55.2,0
8,Online,48,0
14,POS,43,1
19,ATM,21.6,0
21,POS,46.3,0
22,Online,50.9,1
22,Online,27,0
19,Online,49.8,0
19,ATM,53.9,0
18,ATM,41.6,0
2,ATM,51.4,1
